Change ID,Owner,Created,Updated,Link,Branch,Project,Status,#Comments,Approvers,Verifiers,AssignedReviewers,CodeReviewers,RealReviews,SelfReview,#PatchSets,#FilesInPatch,InlineComments,Addfiles,ModFiles,DelFiles,RenamedFile,DeleteLOC,AddLOC
577,1000392,2008.10.21 15:27,2008.10.21 15:30,https://android-review.googlesource.com/577,refs/heads/master,platform/manifest,Merged,1,0,0,1,1,1,FALSE,1,1,0,0,1,0,0,36,29
579,1000162,2008.10.21 19:57,2008.10.21 20:23,https://android-review.googlesource.com/579,refs/heads/master,platform/frameworks/base,Merged,2,1,1,2,2,2,FALSE,1,4,0,0,4,0,0,0,5
776,1000162,2008.10.21 22:02,2008.10.21 22:57,https://android-review.googlesource.com/776,refs/heads/master,platform/build,Merged,5,1,1,2,2,2,FALSE,1,2,0,0,2,0,0,0,3
593,1000162,2008.10.21 22:02,2008.10.21 22:57,https://android-review.googlesource.com/593,refs/heads/master,platform/development,Merged,4,1,1,2,2,2,FALSE,1,1,0,0,1,0,0,0,1
594,1000162,2008.10.21 22:02,2008.10.21 23:35,https://android-review.googlesource.com/594,refs/heads/master,platform/external/srec,Merged,3,2,1,2,2,2,FALSE,1,1,0,0,1,0,0,0,1
595,1000162,2008.10.21 22:02,2008.10.21 22:55,https://android-review.googlesource.com/595,refs/heads/master,platform/frameworks/base,Merged,4,1,1,2,2,2,FALSE,1,6,0,0,6,0,0,0,8
1202,1000392,2008.10.22 0:38,2008.10.22 0:39,https://android-review.googlesource.com/1202,refs/heads/master,platform/prebuilt,Merged,0,0,0,0,0,0,FALSE,1,1,0,1,0,0,0,0,11
1205,1001144,2008.10.22 3:23,2008.10.22 19:50,https://android-review.googlesource.com/1205,refs/heads/master,platform/build,Merged,3,2,1,2,2,2,FALSE,1,1,0,0,1,0,0,0,4
789,1000495,2008.10.22 16:29,2008.10.22 19:46,https://android-review.googlesource.com/789,refs/heads/master,platform/development,Merged,4,1,1,2,1,1,FALSE,1,1,0,0,1,0,0,1,1
793,1000911,2008.10.22 17:55,2008.10.25 17:24,https://android-review.googlesource.com/793,refs/heads/master,platform/build,Abandoned,3,0,0,2,2,2,FALSE,1,2,0,0,2,0,0,2,2
1216,1001252,2008.10.22 18:43,2008.10.22 19:47,https://android-review.googlesource.com/1216,refs/heads/master,platform/development,Merged,2,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,103,64
1411,1000322,2008.10.23 3:27,2008.10.23 5:13,https://android-review.googlesource.com/1411,refs/heads/master,platform/build,Merged,2,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,2,36
1233,1000330,2008.10.23 3:35,2008.10.23 23:13,https://android-review.googlesource.com/1233,refs/heads/master,platform/build,Merged,6,1,1,2,1,1,FALSE,1,1,0,0,1,0,0,1,23
